iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take
314,9338880,986.362,498,20.07,0.0,205.51,-0.0038056625053286552,1.3317019939422607,0.536363959312439,0.0037204191298840783,0.03318023681640625,0.0006,0.2355798421372192,0.672886937431394
315,9371648,1053.664,497,20.28,0.0,210.39,-0.008747170679271221,1.0169602632522583,0.5527493953704834,0.00277405037515166,0.0293426513671875,0.0006,0.20634450044470798,0.6800825593395253
316,9404416,1117.211,498,20.28,0.0,212.38,-0.008086067624390125,1.2070066928863525,0.5960406064987183,0.001743399327295947,0.0168304443359375,0.0006,0.22348154606219123,0.6895833333333333
317,9437184,1176.506,501,21.46,0.0,224.73,-0.007083911448717117,0.9881690740585327,0.5700322389602661,0.00201193173501224,0.01966094970703125,0.0006,0.18937903905591458,0.6746871992300288
318,9469952,1246.807,499,21.4,0.0,226.87,-0.009916159324347973,1.0597987174987793,0.5596383213996887,0.0036724998444412904,0.0355377197265625,0.0006,0.19604566972988025,0.672514619883041
319,9502720,1319.471,496,22.13,0.01,225.25,-0.012260261923074722,1.1130441427230835,0.5543117523193359,0.004562440643340437,0.03955841064453125,0.0006,0.23052959501557632,0.6535947712418301
320,9535488,1396.848,492,20.26,0.0,208.43,-0.009633800014853477,1.0188580751419067,0.5816709399223328,0.0027266646656869398,0.02672576904296875,0.0006,0.19353855531850045,0.6666666666666666
321,9568256,1453.5,495,21.52,0.0,226.36,-0.006439754739403725,0.7921661138534546,0.5729228258132935,0.001711809892981364,0.01641845703125,0.0006,0.1709425543781372,0.670020120724346
322,9601024,1511.167,498,23.08,0.01,239.77,-0.008016643114387989,1.097135066986084,0.5582665801048279,0.0029071625235701504,0.02667999267578125,0.0006,0.1972972972972973,0.6597096188747731
323,9633792,1569.365,501,21.62,0.0,230.27,-0.011041446588933468,0.710434079170227,0.5453168153762817,0.0037447090703395247,0.03182220458984375,0.0006,0.12769532343881265,0.674373795761079
324,9666560,1640.115,499,22.08,0.0,237.18,-0.013593262992799282,0.9314730167388916,0.5852851867675781,0.004793494607952198,0.03745269775390625,0.0006,0.19437619437619438,0.6489262371615313
325,9699328,1708.655,498,20.68,0.0,219.74,-0.006403747946023941,0.9917987585067749,0.6066707372665405,0.004519961533105743,0.0401153564453125,0.0006,0.2063312605992086,0.650261780104712
326,9732096,1783.255,496,21.87,0.0,232.14,-0.0123142059892416,0.8676311373710632,0.5789180994033813,0.003953728312410476,0.03746795654296875,0.0006,0.18408096280087527,0.6440349175557711
327,9764864,1861.119,492,21.94,0.01,225.42,-0.009385812096297741,1.1639751195907593,0.5727697610855103,0.003522809985950559,0.03330230712890625,0.0006,0.23354984467664502,0.6796875
328,9797632,1928.425,492,22.32,0.01,240.44,-0.00996986124664545,0.9078638553619385,0.5719214677810669,0.005208368359461701,0.0446014404296875,0.0006,0.18768096867596737,0.653393665158371
329,9830400,2007.429,489,20.21,0.0,215.41,-0.0024029628839343786,0.9885351657867432,0.5937991142272949,0.002949615365196223,0.02822113037109375,0.0006,0.2129521586931155,0.6663124335812965
330,9863168,2084.739,487,21.65,0.0,228.15,-0.009363721124827862,0.9624614119529724,0.5998900532722473,0.004676937784722668,0.04076385498046875,0.0006,0.22695820647661225,0.6598240469208211
331,9895936,2156.47,486,20.96,0.0,220.88,-0.01336656603962183,0.999322772026062,0.6118088960647583,0.004190226542107212,0.0412750244140625,0.0006,0.26685393258426965,0.6801661474558671
332,9928704,2236.979,483,20.22,0.0,212.86,-0.005143268965184689,0.9909954071044922,0.61431884765625,0.003433139718737266,0.0368499755859375,0.0006,0.21227768215720022,0.6917372881355932
