iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent,potions_discarded
3265,108134400,1649.419,635,20.85,0.0,228.95,0.003917687106877565,35.2449951171875,0.49654021859169006,0.011450421249416346,0.04774305555555555,0.0003,0.2503473186996388,0.808641975308642,4.88,0.48,1.46,5.71,5.92,1.02,0.8,4.1,0.01,4.444878251999617,5.66,173.28,0.03986464213165972,nan,0.02
3266,108199936,1749.22,636,19.07,0.0,258.53,-0.008441693149507046,31.723112106323242,0.5138541460037231,0.0019773664644162636,0.017932891845703125,0.0003,0.24121557454890788,0.7814645308924485,4.49,0.45,1.46,5.27,5.49,1.19,0.78,3.52,0.02,4.102566838860512,5.46,161.13,0.039493536576628685,nan,0.03
3267,108265472,1852.571,636,18.38,0.0,198.35,-0.008413626812398434,35.84101104736328,0.5159831047058105,0.003817893724544774,0.033355712890625,0.0003,0.24295216978143808,0.801377726750861,4.36,0.44,1.38,4.88,5.03,1.06,0.69,3.28,0.0,3.702365841716528,5.05,155.4,0.036600006627850235,nan,0.02
3268,108331008,1955.294,636,18.66,0.0,204.96,-0.0070686363615095615,31.87362289428711,0.5218451023101807,0.005468007226795635,0.04434967041015625,0.0003,0.2337984496124031,0.7976608187134503,4.0,0.41,1.34,5.16,5.09,1.18,0.61,3.3,0.02,3.776154708266258,4.95,160.79,0.03491309765377082,nan,0.05
3269,108396544,2059.839,636,19.19,0.0,209.88,-0.008868143893778324,33.069419860839844,0.5099118947982788,0.0053475383567729295,0.043560028076171875,0.0003,0.2247191011235955,0.7706725468577729,4.06,0.45,1.4,5.57,5.63,1.15,0.61,3.87,0.02,4.147894205152989,5.21,163.69,0.0368555297027342,nan,0.0
3270,108462080,2160.406,637,19.19,0.0,220.83,-0.007072793319821358,29.81066131591797,0.5181313753128052,0.003875774504606966,0.02974700927734375,0.0003,0.2652318884510458,0.7615384615384615,3.75,0.35,1.55,5.37,5.49,1.23,0.67,3.59,0.01,4.146275887191296,5.46,167.79,0.035443349537672475,nan,0.01
3271,108527616,2263.167,637,18.36,0.0,217.13,-0.011227674782276154,35.766754150390625,0.520958423614502,0.004564574021870271,0.0380096435546875,0.0003,0.2552196946089124,0.8036951501154734,3.62,0.46,1.25,5.08,4.97,0.93,0.58,3.46,0.01,3.6678689555823802,4.88,162.18,0.03989062592154369,nan,0.03
3272,108593152,2361.761,638,20.36,0.0,218.98,-0.002846786053851247,40.390140533447266,0.4903557598590851,0.003345498866650587,0.03400421142578125,0.0003,0.22036342659359676,0.7820927723840345,4.46,0.48,1.74,5.32,5.33,1.28,0.65,3.4,0.0,3.957319271564484,5.87,172.47,0.041484946792479604,nan,0.04
3273,108658688,2464.679,638,19.71,0.0,227.25,-0.009998824447393417,32.659751892089844,0.48827916383743286,0.0035887748759364513,0.031005859375,0.0003,0.23148425787106447,0.7483870967741936,4.23,0.56,1.45,5.31,5.22,1.04,0.52,3.66,0.02,3.8327889165282247,5.51,161.81,0.034239474713103846,nan,0.03
3274,108724224,2566.842,638,20.72,0.0,247.69,-0.006370792165398598,33.84489440917969,0.48694470524787903,0.003753657456286419,0.0374755859375,0.0003,0.24332507569501788,0.7794871794871795,4.2,0.38,1.7,5.83,5.97,1.36,0.78,3.83,0.02,4.494408358633518,5.99,174.02,0.03745440754573792,nan,0.02
3275,108789760,2666.846,638,19.61,0.0,220.01,-0.0026542115956544876,35.717140197753906,0.509819507598877,0.0036661402209645644,0.0318603515625,0.0003,0.2542422469280281,0.7789585547290117,4.07,0.57,1.45,5.21,5.3,1.07,0.6,3.63,0.03,3.7970594938471915,5.25,168.57,0.03755718772299588,nan,0.01
3276,108855296,2769.038,639,19.84,0.0,319.62,-0.007412993349134922,31.2081298828125,0.5029867887496948,0.003937081048775326,0.037082672119140625,0.0003,0.264062955406587,0.7536231884057971,4.13,0.52,1.49,5.49,5.54,1.21,0.62,3.71,0.05,3.9951214012503624,5.42,164.22,0.03669685623026453,nan,0.0
3277,108920832,2868.463,639,18.63,0.0,203.26,-0.005998536013066769,35.51515579223633,0.51556396484375,0.003092195470742354,0.02960205078125,0.0003,0.25508317929759705,0.7927107061503417,3.99,0.48,1.43,5.21,5.31,1.23,0.59,3.49,0.01,3.9613505767285826,5.06,157.08,0.035548100975574926,nan,0.0
3278,108986368,2966.47,640,19.1,0.0,215.09,-0.005217211786657572,32.55964279174805,0.5094499588012695,0.003966528117956614,0.036090850830078125,0.0003,0.27474747474747474,0.8046103183315039,4.28,0.34,1.56,5.43,5.33,1.19,0.64,3.5,0.01,3.935647126287222,5.27,163.62,0.03503845649538562,nan,0.06
3279,109051904,3065.684,641,19.9,0.0,319.22,-0.0036576539278030396,34.62176513671875,0.5000384449958801,0.003611379402940429,0.034358978271484375,0.0003,0.2602895259721828,0.8189386056191468,4.01,0.54,1.46,5.43,5.55,1.01,0.68,3.86,0.0,4.152684853672981,5.51,169.26,0.038813286810182035,nan,0.01
3280,109117440,3167.707,641,19.88,0.0,215.38,-0.006767341401427984,36.320655822753906,0.5265780091285706,0.0035605705232768514,0.0307464599609375,0.0003,0.24198765069097325,0.8123011664899258,4.28,0.55,1.57,5.5,5.37,1.25,0.62,3.5,0.0,3.9008934244513513,5.82,165.0,0.038442607037723064,nan,0.03
3281,109182976,3272.887,640,20.18,0.0,220.21,-0.005427644122391939,35.61395263671875,0.5112291574478149,0.004564516518740902,0.042572021484375,0.0003,0.2618490345231129,0.8154825026511134,4.25,0.57,1.52,5.92,5.86,1.27,0.76,3.83,0.01,4.370610645413398,5.38,176.24,0.036052031617145985,nan,0.01
3282,109248512,3373.49,641,17.9,0.0,216.42,-0.004260689951479435,32.5177001953125,0.5543063282966614,0.004506756351943864,0.03940582275390625,0.0003,0.310888686684865,0.8133333333333334,3.46,0.53,1.15,5.15,5.04,1.09,0.64,3.31,0.01,3.862755889594555,4.73,158.12,0.039918862690683454,nan,0.04
3283,109314048,3473.926,641,19.54,0.0,213.17,-0.006113355979323387,32.91602325439453,0.527366042137146,0.004725143566759016,0.037105560302734375,0.0003,0.2925311203319502,0.8205980066445183,3.73,0.34,1.4,5.22,5.08,0.96,0.55,3.57,0.0,3.678921874165535,5.12,168.99,0.041143607115373015,nan,0.04
3284,109379584,3575.946,641,19.78,0.0,212.54,-0.005206250119954348,34.2752685546875,0.5359390377998352,0.0028236169324671323,0.027530670166015625,0.0003,0.28723719277465204,0.8140311804008908,4.41,0.41,1.47,5.29,5.64,1.23,0.6,3.81,0.0,4.240713605880737,5.24,169.05,0.036346020322525874,nan,0.05
3285,109445120,3676.718,641,20.65,0.0,238.33,-0.003949497826397419,36.45039367675781,0.5025646686553955,0.003275228077683323,0.0321502685546875,0.0003,0.2637158759607739,0.7709384460141272,4.19,0.48,1.49,5.89,5.94,1.13,0.73,4.08,0.0,4.4765100321918725,5.49,179.18,0.04050605901284143,nan,0.06
3286,109510656,3786.087,640,20.39,0.0,220.4,-0.006694677751511335,28.653709411621094,0.5171540975570679,0.0029130397356880167,0.025485992431640625,0.0003,0.2345360824742268,0.7956756756756757,4.06,0.49,1.42,5.76,5.93,1.15,0.6,4.18,0.02,4.526685845851898,5.44,171.11,0.04019733605673537,nan,0.08
3287,109576192,3887.649,640,18.95,0.0,208.98,-0.00783262774348259,34.14680480957031,0.5282407999038696,0.0037217482709479555,0.03646087646484375,0.0003,0.2440133373749621,0.7794117647058824,3.96,0.42,1.4,5.48,5.57,1.18,0.53,3.86,0.0,4.106856462359429,5.12,158.24,0.03876073670107871,nan,0.09
