iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent
2350,77037568,1876.899,576,18.87,0.0,202.42,-0.009002487175166607,16.15015983581543,0.45364871621131897,0.004125505155911924,0.03310394287109375,0.0003,0.19695557626592108,0.9086908690869087,4.36,0.46,1.32,5.33,5.43,0.99,0.7,3.74,0.0,4.066087647676468,5.23,162.61,0.03813612344674766,nan
2351,77070336,1930.898,576,20.62,0.0,218.02,-0.008919931948184967,15.706714630126953,0.4652799367904663,0.0038848969348350693,0.034149169921875,0.0003,0.22064896755162242,0.9093782929399368,4.15,0.45,1.56,5.53,5.79,1.17,0.74,3.88,0.0,4.379151335209608,5.66,168.73,0.03892949956934899,nan
2352,77103104,1984.925,577,20.15,0.0,210.98,-0.00910121388733387,14.759787559509277,0.44286489486694336,0.0034519012352234313,0.02773284912109375,0.0003,0.17981927710843373,0.9088050314465409,3.88,0.45,1.5,5.86,5.75,1.09,0.68,3.98,0.0,4.456363032609224,5.55,167.21,0.04071212781127542,nan
2353,77135872,2042.59,577,21.51,0.0,263.35,-0.008431480266153812,16.882078170776367,0.4391193091869354,0.003706376850061588,0.02979278564453125,0.0003,0.19187554019014694,0.8777335984095428,4.98,0.46,1.43,5.8,5.93,1.03,0.75,4.15,0.0,4.539005553843453,6.1,178.45,0.04014130053110421,nan
2354,77168640,2097.037,578,19.68,0.0,214.37,-0.009489351883530617,11.148984909057617,0.4599037170410156,0.004678413245756019,0.036712646484375,0.0003,0.19192825112107623,0.8836712913553896,4.19,0.59,1.32,5.56,5.64,1.09,0.61,3.94,0.0,4.355128167867661,5.37,164.52,0.03597135213203728,nan
2355,77201408,2153.767,578,19.84,0.0,214.97,-0.010546010918915272,14.228289604187012,0.48286664485931396,0.004828084695986945,0.03395843505859375,0.0003,0.20346320346320346,0.8853503184713376,5.11,0.51,1.18,5.41,5.35,0.87,0.7,3.78,0.01,4.165124777853489,5.16,166.42,0.03662122483365238,nan
2356,77234176,2213.256,577,23.06,0.0,243.36,-0.003415423445403576,13.81175422668457,0.45560652017593384,0.007530168706296081,0.0498046875,0.0003,0.21636801283765714,0.8725581395348837,4.46,0.61,1.5,6.31,6.2,1.09,0.76,4.35,0.0,4.769936929345131,6.61,193.06,0.04193591058719903,nan
2357,77266944,2272.114,576,20.05,0.0,215.63,-0.011206569150090218,13.787240982055664,0.4742400050163269,0.003277910900862935,0.02516937255859375,0.0003,0.18903868698710433,0.8772112382934444,3.82,0.4,1.26,5.55,5.6,1.0,0.75,3.85,0.0,4.3156930321455,5.33,166.91,0.03604415396694094,nan
2358,77299712,2332.785,575,19.0,0.0,201.09,-0.010350705124437809,14.985921859741211,0.4932278096675873,0.005239883469357665,0.03656005859375,0.0003,0.20293474867311895,0.875,4.06,0.47,1.41,5.17,5.41,0.93,0.69,3.79,0.0,4.041410548985004,5.19,157.28,0.03864013310521841,nan
2359,77332480,2389.198,576,20.46,0.0,216.88,-0.011646328493952751,15.009149551391602,0.47477877140045166,0.005488095884714994,0.04058074951171875,0.0003,0.21126349576889408,0.8580441640378549,4.54,0.48,1.29,5.67,6.13,0.98,0.67,4.48,0.0,4.737688752710819,5.71,168.4,0.040518069406971335,nan
2360,77365248,2445.676,576,19.94,0.0,213.11,-0.010631872341036797,12.932540893554688,0.4931960701942444,0.004678581842398444,0.0408935546875,0.0003,0.21251441753171857,0.8689581095596133,4.07,0.45,1.08,5.41,5.38,0.87,0.5,4.01,0.0,4.156234799325466,5.12,168.33,0.03812948742415756,nan
2361,77398016,2503.152,575,18.86,0.0,201.93,-0.008797894231975079,14.470481872558594,0.4988943934440613,0.002708085868391663,0.02497100830078125,0.0003,0.2132600061106019,0.8620296465222349,4.05,0.54,1.18,5.14,5.01,0.84,0.61,3.56,0.01,3.67554507791996,5.01,160.24,0.039873006171546876,nan
2362,77430784,2560.829,575,19.96,0.0,225.51,-0.005530571565032005,16.268938064575195,0.48982691764831543,0.001958190272119964,0.01844024658203125,0.0003,0.2141855901317634,0.8665254237288136,3.87,0.5,1.1,5.33,5.33,0.79,0.68,3.86,0.0,4.023188268244266,5.23,170.43,0.04315219272393733,nan
2363,77463552,2619.576,575,18.6,0.0,196.69,-0.01041440013796091,15.785097122192383,0.49982577562332153,0.003817562438484856,0.03350067138671875,0.0003,0.20548376930349826,0.874133949191686,3.62,0.4,1.18,4.89,5.15,0.96,0.54,3.65,0.0,3.8757387784123423,4.92,159.78,0.035630088415928185,nan
2364,77496320,2678.871,574,18.94,0.0,301.68,-0.01112634502351284,14.777294158935547,0.516645073890686,0.004000409601871979,0.033233642578125,0.0003,0.19748928352725045,0.8607734806629834,3.85,0.32,1.05,5.35,5.35,0.82,0.73,3.8,0.02,4.021532496064902,4.91,159.79,0.03810189291834831,nan
